locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,source
BAW BAW VILLAGE,BAW BAW VILLAGE,100303,808851339,205410127,Victoria Locality Boundary layer (MapServer/2)
BAXTER,BAXTER,100304,785173887,205409860,Victoria Locality Boundary layer (MapServer/2)
BAYINDEEN,BAYINDEEN,100305,468966008,205409227,Victoria Locality Boundary layer (MapServer/2)
BAYLES,BAYLES,100306,763860819,205409387,Victoria Locality Boundary layer (MapServer/2)
BAYNTON,BAYNTON,100307,814063485,205408253,Victoria Locality Boundary layer (MapServer/2)
BAYNTON EAST,BAYNTON EAST,100308,814063486,205409805,Victoria Locality Boundary layer (MapServer/2)
BAYSWATER,BAYSWATER,100309,855619813,205409951,Victoria Locality Boundary layer (MapServer/2)
BAYSWATER NORTH,BAYSWATER NORTH,100310,855619811,205410002,Victoria Locality Boundary layer (MapServer/2)
BEACONSFIELD,BEACONSFIELD,100311,763860798,205409906,Victoria Locality Boundary layer (MapServer/2)
BEACONSFIELD UPPER,BEACONSFIELD UPPER,100313,820278160,205409240,Victoria Locality Boundary layer (MapServer/2)
BEALIBA,BEALIBA,100314,843399935,205407848,Victoria Locality Boundary layer (MapServer/2)
BEARII,BEARII,100316,508705795,205409200,Victoria Locality Boundary layer (MapServer/2)
BEARS LAGOON,BEARS LAGOON,100317,835229210,205408030,Victoria Locality Boundary layer (MapServer/2)
BEAUCHAMP,BEAUCHAMP,100318,468964862,205407543,Victoria Locality Boundary layer (MapServer/2)
BEAUFORT,BEAUFORT,100320,835229276,205407738,Victoria Locality Boundary layer (MapServer/2)
BEAUMARIS,BEAUMARIS,100321,855804508,205410078,Victoria Locality Boundary layer (MapServer/2)
BEAZLEYS BRIDGE,BEAZLEYS BRIDGE,100322,468965491,205408409,Victoria Locality Boundary layer (MapServer/2)
BEEAC,BEEAC,100323,805745163,205407955,Victoria Locality Boundary layer (MapServer/2)
BEECH FOREST,BEECH FOREST,100324,805745214,205407775,Victoria Locality Boundary layer (MapServer/2)
BEECHWORTH,BEECHWORTH,100325,842441929,205407712,Victoria Locality Boundary layer (MapServer/2)
BEENAK,BEENAK,100326,820278145,205409623,Victoria Locality Boundary layer (MapServer/2)
BELGRAVE,BELGRAVE,100327,820278151,205410137,Victoria Locality Boundary layer (MapServer/2)
BELGRAVE HEIGHTS,BELGRAVE HEIGHTS,100328,820278155,205410268,Victoria Locality Boundary layer (MapServer/2)
BELGRAVE SOUTH,BELGRAVE SOUTH,100329,820278156,205409749,Victoria Locality Boundary layer (MapServer/2)
BELL PARK,BELL PARK,100330,728238614,205410242,Victoria Locality Boundary layer (MapServer/2)
BELL POST HILL,BELL POST HILL,100331,728238611,205410055,Victoria Locality Boundary layer (MapServer/2)
BELLARINE,BELLARINE,100332,728238620,205409695,Victoria Locality Boundary layer (MapServer/2)
BELLBIRD CREEK,BELLBIRD CREEK,100333,468966351,205409486,Victoria Locality Boundary layer (MapServer/2)
BELLBRAE,BELLBRAE,100334,796758824,205408756,Victoria Locality Boundary layer (MapServer/2)
BELLBRIDGE,BELLBRIDGE,100335,849561985,205410382,Victoria Locality Boundary layer (MapServer/2)
BELLELLEN,BELLELLEN,100336,468965862,205409571,Victoria Locality Boundary layer (MapServer/2)
BELLFIELD (GRAMPIANS),BELLFIELD,100338,840422625,205407803,Victoria Locality Boundary layer (MapServer/2)
BELLFIELD (GREATER MELBOURNE),BELLFIELD,100339,856190234,205410364,Victoria Locality Boundary layer (MapServer/2)
BELLS BEACH,BELLS BEACH,100340,855004832,205409782,Victoria Locality Boundary layer (MapServer/2)
BELMONT,BELMONT,100341,728238642,205409892,Victoria Locality Boundary layer (MapServer/2)
BEMM RIVER,BEMM RIVER,100342,468966403,205407527,Victoria Locality Boundary layer (MapServer/2)
BENA,BENA,100343,812374053,205409170,Victoria Locality Boundary layer (MapServer/2)
BENALLA,BENALLA,100344,849561993,205407501,Victoria Locality Boundary layer (MapServer/2)
BENAMBRA,BENAMBRA,100345,468965563,205407418,Victoria Locality Boundary layer (MapServer/2)
BENAYEO,BENAYEO,100346,468965615,205407814,Victoria Locality Boundary layer (MapServer/2)
BEND OF ISLANDS,BEND OF ISLANDS,100347,698493597,205410016,Victoria Locality Boundary layer (MapServer/2)
BENDIGO,BENDIGO,100348,824742281,205410053,Victoria Locality Boundary layer (MapServer/2)
BENDOC,BENDOC,100349,574189494,205407433,Victoria Locality Boundary layer (MapServer/2)
BENGWORDEN,BENGWORDEN,100350,836975058,205408049,Victoria Locality Boundary layer (MapServer/2)
BENJEROOP,BENJEROOP,100351,509407419,205408717,Victoria Locality Boundary layer (MapServer/2)
BENLOCH,BENLOCH,100352,814063491,205409299,Victoria Locality Boundary layer (MapServer/2)
BENNISON,BENNISON,100353,812374109,205410185,Victoria Locality Boundary layer (MapServer/2)
BENTLEIGH,BENTLEIGH,100354,739400822,205410100,Victoria Locality Boundary layer (MapServer/2)
BENTLEIGH EAST,BENTLEIGH EAST,100355,756167902,205409899,Victoria Locality Boundary layer (MapServer/2)
